id,cate,title,lead,time,tag
667120,Thời sự,Lũ quét cuốn trôi nhiều ngôi nhà ở Điện Biên,"Đêm 16 rạng sáng ngày 17/8, trên địa bàn xã Nậm Nhừ, huyện Nậm Pồ (tỉnh Điện Biên) xảy ra mưa lớn kéo dài gây ra hiện tượng lũ quét dẫn tới thiệt hại nặng về tài sản.",2020-08-17,"['mưa lũ', 'lũ quét']"
666997,Công nghệ,Báo chí có thể thu tiền từ các mạng xã hội bằng cách nào?,"Nguồn thu từ quảng cáo sụt giảm, báo chí đang phải tìm cách thích nghi với sự vận động không ngừng của Facebook nói riêng và các nền tảng mạng xã hội nói chung.",2020-08-17,"['thu phi bao chi', 'Facebook', 'thu phi đoc bao']"
667141,Thế giới,Bộ trưởng Nội vụ Philippines tái mắc Covid-19 sau 5 tháng,"Bộ trưởng Nội vụ Philippines Eduardo Año xác nhận, ông vừa được chẩn đoán tái dương tính với Covid-19 sau lần đầu mắc bệnh cách đây 5 tháng.",2020-08-17,"['Philippines', 'COVID-19', 'virus corona']"
667176,Sức khỏe,Hà Nội ghi nhận ca dương tính nCoV ở quận Tây Hồ,"Hà Nội ghi nhận thêm một trường hợp dương tính với SARS-CoV-2, sống tại quận Tây Hồ.",2020-08-17,"['virus corona', 'COVID-19']"
667169,Kinh Doanh,Trung Quốc tạm dừng nhập khẩu xoài Việt Nam,"Cục Bảo vệ thực vật đã xác nhận thông tin Trung Quốc phát hiện 220 lô xoài tươi nhập khẩu từ Việt Nam nhiễm sâu hại, nhiều lô còn bị mạo danh xuất xứ nên đã quyết định tạm dừng nhập khẩu mặt hàng này.",2020-08-17,"['Trung Quốc', 'xuất khẩu sang trung quốc', 'xuất khẩu xoài', 'xoài cao lãnh']"
665581,Thời sự,Đề xuất cho người dân tự bán rác thải để có động lực phân loại,"Tổng thư ký Quốc hội Nguyễn Hạnh Phúc đề xuất, phải cho người dân tự bán rác thải thì họ mới có động lực phân loại.",2020-08-12,"['luật Bảo vệ môi trường sửa đổi', 'Nguyễn Hạnh Phúc', 'rác thải']"
666134,Thời sự,Khởi động trang thông tin điện tử Năm Chủ tịch AIPA 2020,Trang thông tin điện tử hỗ trợ Quốc hội Việt Nam tổ chức Đại hội đồng AIPA 41 theo hình thức trực tuyến.,2020-08-13,"['Quốc hội', 'AIPA 2020', 'Nguyễn Thị Kim Ngân']"
666236,Thời sự,"Chiếm 3.000 m2 đất công, Chủ tịch xã ở Thanh Hóa bị khởi tố","Công an Thanh Hóa vừa khởi tố bị can đối với Chủ tịch, cán bộ địa chính UBND xã Hà Vinh, huyện Hà Trung (Thanh Hóa) và một trưởng thôn về hành vi “Lợi dụng chức vụ quyền hạn trong thi hành công vụ”.",2020-08-14,"['chiếm đất', 'Hồ sơ khống', 'Thanh Hóa']"
666662,Thời sự,Thanh tra Chính phủ kiến nghị kiểm điểm Chủ tịch tỉnh Ninh Thuận,"Thanh tra Chính phủ vừa kiến nghị Thủ tướng kiểm điểm trách nhiệm của Chủ tịch UBND Ninh Thuận và các Phó chủ tịch do để xảy ra nhiều sai phạm về quản lý đất đai, đầu tư xây dựng...",2020-08-15,"['lãnh đạo', 'Ninh Thuận', 'chống tham nhũng']"
666851,Thời sự,"Dự báo thời tiết 17/8, miền Bắc hứng đợt mưa rất lớn","Những ngày tới, các tỉnh miền Bắc sẽ hứng đợt mưa to đến đặc biệt to. Trọng tâm của đợt mưa tập trung từ đêm 16 đến đêm 18/8.",2020-08-17,"['thời tiết thủ đô', 'thời tiết ngày mai', 'áp thấp nhiệt đới', 'dự báo thời tiết']"
661482,Giải trí,"Lã Thanh Huyền, Quỳnh Kool bật mí về Thanh Sơn, Nhan Phúc Vinh",Hai diễn viên xinh đẹp của phim 'Đừng bắt em phải quên' và 'Tình yêu và tham vọng' đã có những chia sẻ thú vị về nghề cũng như về vai diễn và chuyện tình cảm với độc giả VietNamNet.,2020-07-28,"['Đừng bắt em phải quên', 'Quỳnh Kool', 'lã thanh huyền', 'Tình yêu và tham vọng']"
666649,Thời sự,Con trai nguyên Tổng Bí thư Lê Khả Phiêu xin lỗi bố vì không rải tro cốt,"Thay mặt gia đình phát biểu cảm ơn tại lễ truy điệu, con trai nguyên Tổng Bí thư Lê Khả Phiêu xin lỗi bố vì không thực hiện được di nguyện rải tro cốt xuống ba dòng sông.",2020-08-15,"['quốc tang', 'Lê Khả Phiêu']"
666990,Kinh Doanh,"Đảo tay nghìn tỷ, Bầu Thụy lọt top 50 người giàu nhất Việt Nam",Đại gia Ninh Bình Nguyễn Đức Thụy (Bầu Thụy) có thể sẽ lọt top 50 người giàu nhất Việt Nam sau một quyết định chuyển tay nghìn tỷ vừa được đưa ra cuối tuần qua.,2020-08-17,"['bầu thụy', 'Nguyễn Đức Thụy', 'Thaiholdings', 'Thaigroup', 'COVID-19', 'Alphanam', 'niêm yết cửa sau', 'Chứng khoán']"
667174,Sức khỏe,Bệnh nhân Covid-19 nặng ở Bắc Giang diễn biến xấu,"Người này đang có sự gia tăng tổn thương phổi, tạm thời được cho thở oxy không xâm nhập 100%.",2020-08-17,['COVID-19']
666964,Thế giới,"Mưa lũ khủng khiếp, Trung Quốc sơ tán hàng vạn dân","Cơ quan Phòng chống lũ lụt và hạn hán Tứ Xuyên (Trung Quốc) cho biết, mưa lớn đã buộc chính quyền tỉnh này nâng cảnh báo thiên tai từ màu vàng lên màu cam trong ngày 16/8.",2020-08-17,"['Trung Quốc', 'mưa bão', 'Thiên tai', 'lũ lụt']"
667105,Giáo dục,Xuất hiện 4 trường hợp đặc biệt trong chấm thi tốt nghiệp THPT,Quá trình chấm thi tốt nghiệp THPT đã xuất hiện những tình huống khá đặc biệt như thí sinh khoanh đáp án vào đề thay vì trên phiếu trả lời trắc nghiệm. Ở Quảng Ninh có đến 3 trường hợp như vậy.,2020-08-17,"['thi tốt nghiệp THPT', 'chấm thi', 'thi tốt nghiệp THPT năm 2020']"
667164,Sức khỏe,"Hà Nội, Hải Dương thêm 5 ca Covid-19, cả nước có 976 ca","Bộ Y tế chiều 17/8 cho biết, Việt Nam ghi nhận thêm 12 ca mắc Covid-19 mới tại các Hà Nội, Hải Dương và Đà Nẵng.",2020-08-17,"['COVID-19', 'virus corona']"
665908,Thể thao,"Tuyển Việt Nam nghỉ hết 2020, thầy Park tính gì cũng... bí","Tuyển Việt Nam chưa kịp tập trung đã nhận tin hoãn vòng loại World Cup 2022 sang năm 2021. Liệu rằng, với HLV Park Hang Seo đây là phúc hay hoạ?",2020-08-13,"['Vòng loại World Cup 2022', 'HLV Park Hang Seo', 'FIFA', 'Tuyển Việt Nam']"
666439,Thể thao,"Chủ tịch CLB Quảng Nam: ""Tôi không xin VPF 5 tỷ""","Chủ tịch CLB Quảng Nam Nguyễn Húp cho rằng nếu V-League 2020 kéo dài đến cuối năm, thiệt hại của mỗi đội bóng có thể lên tới 5 tỷ đồng.",2020-08-14,"['CLB Quảng Nam', 'COVID-19', 'VPF', 'VFF', 'Nguyễn Húp']"
664822,Đời sống,Bản làng mộc mạc nhỏ xinh ở Sa Pa khiến ai cũng muốn ghé thăm,"Bản Cát Cát có những ngôi nhà gỗ đơn sơ, những con suối chảy róc rách giữa khung cảnh thiên nhiên núi rừng hoang sơ hùng vĩ.",2020-08-09,"['Tây Bắc', 'du lịch sa pa']"
665740,Đời sống,10 ngôi làng cheo leo vách núi đẹp nhất hành tinh,"Xây dựng các công trình sát vách đá luôn có sự nguy hiểm nhất định. Tuy nhiên, vì nhiều lý do chúng vẫn tồn tại và trở thành điểm tham quan hút du khách theo thời gian.",2020-08-12,"['du lịch thế giới', 'địa điểm du lịch']"
660293,Đời sống,"Ông bố đưa vợ bầu, con nhỏ đi phượt 2.000km từ Hà Nội vào Quảng Nam","Sau nhiều năm lấy tinh thần, gia đình anh Nguyễn Minh Hoàng (Hà Nội) đã quyết tâm thực hiện chuyến du lịch từ miền Bắc vào miền Trung với tổng quãng đường 2.100km trong 12 ngày.",2020-07-26,"['phượt', 'du lịch xuyên việt', 'du lịch bằng ô tô', 'du lịch hè']"
661063,Đời sống,"Quá chán làm việc ở nhà, dân Mỹ kéo ra khách sạn thuê giá 3 triệu/ ngày","Làm việc ở nhà đồng nghĩa với việc bạn sẽ bị bọn trẻ gọi í ới, bạn phải giặt là, phải nấu ăn…",2020-07-27,['COVID-19']
666600,Đời sống,Trải nghiệm hoàng gia trong phòng đắt nhất khách sạn 7 sao,Phòng suite đắt nhất của Emirates Palace (UAE) đem đến trải nghiệm đế vương cho du khách với những tiện nghi đắt đỏ.,2020-08-15,"['địa điểm du lịch', 'Khách sạn']"
